368.01,204.01,-490.35
368.01,204.01,-490.35
368.01,204.01,-490.35
368.01,204.01,-490.35
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
339.14,218.58,-462.33
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
368.01,233.16,-497.35
324.71,284.16,-448.32
324.71,284.16,-448.32
324.71,284.16,-448.32
324.71,284.16,-448.32
324.71,284.16,-448.32
324.71,284.16,-448.32
324.71,284.16,-448.32
324.71,284.16,-448.32
324.71,284.16,-448.32
324.71,284.16,-448.32
324.71,284.16,-448.32
324.71,284.16,-448.32
324.71,284.16,-448.32
324.71,284.16,-448.32
324.71,284.16,-448.32
324.71,284.16,-448.32
324.71,284.16,-448.32
324.71,284.16,-448.32
324.71,284.16,-448.32
324.71,284.16,-448.32
324.71,284.16,-448.32
324.71,284.16,-448.32
324.71,284.16,-448.32
324.71,284.16,-448.32
324.71,284.16,-448.32
324.71,284.16,-448.32
324.71,284.16,-448.32
324.71,284.16,-448.32
324.71,284.16,-448.32
324.71,284.16,-448.32
324.71,284.16,-448.32
324.71,284.16,-448.32
324.71,284.16,-448.32
324.71,284.16,-448.32
324.71,284.16,-448.32
324.71,284.16,-448.32
110.40301,69.948006,-149.205
110.40301,69.948006,-149.205
353.57,320.59,-364.26
353.57,320.59,-364.26
353.57,320.59,-364.26
353.57,320.59,-364.26
353.57,320.59,-364.26
353.57,320.59,-364.26
353.57,320.59,-364.26
353.57,320.59,-364.26
353.57,320.59,-364.26
353.57,320.59,-364.26
353.57,320.59,-364.26
353.57,320.59,-364.26
353.57,320.59,-364.26
353.57,320.59,-364.26
353.57,320.59,-364.26
353.57,320.59,-364.26
353.57,320.59,-364.26
353.57,320.59,-364.26
353.57,320.59,-364.26
353.57,320.59,-364.26
353.57,320.59,-364.26
353.57,320.59,-364.26
353.57,320.59,-364.26
353.57,320.59,-364.26
353.57,320.59,-364.26
353.57,320.59,-364.26
353.57,320.59,-364.26
353.57,320.59,-364.26
353.57,320.59,-364.26
353.57,320.59,-364.26
353.57,320.59,-364.26
